iter	PRAUC	Logloss
0	0.5829529619	0.6731154225
1	0.6252691325	0.6544677818
2	0.6268239885	0.6383651899
3	0.6330136468	0.6236757452
4	0.6362448794	0.610702712
5	0.6379491424	0.5987521532
6	0.6363761231	0.5887939588
7	0.6375787955	0.579296144
8	0.6390535866	0.5717589001
9	0.6392920838	0.5644572658
10	0.6404491487	0.5581179701
11	0.6415237753	0.5517493556
12	0.6408701605	0.5466043795
13	0.6430579217	0.5420979591
14	0.6438783127	0.5377808406
15	0.6452570245	0.5333629358
16	0.6447576322	0.5298606076
17	0.6457102859	0.5267393702
18	0.6472114843	0.5236025218
19	0.6482911546	0.5211357577
20	0.6493581535	0.5188189064
21	0.6505706837	0.5168304544
22	0.6513830694	0.514431892
23	0.6520769481	0.5125284857
24	0.6529496187	0.5106510746
25	0.6531490472	0.5090939993
26	0.6542586267	0.5076537894
27	0.6547093028	0.5062841867
28	0.6549477865	0.5048246156
29	0.6558138428	0.5036793328
30	0.6561907782	0.5024499433
31	0.6567645531	0.5014509814
32	0.657392074	0.5005984793
33	0.6580633313	0.4996653447
34	0.6586714903	0.4985858783
35	0.6595146124	0.4976039666
36	0.6597190362	0.4967222192
37	0.6598953855	0.4958814335
38	0.6604740271	0.4953301301
39	0.6606997671	0.4946730305
40	0.6611065554	0.4938124333
41	0.6613693473	0.4932374543
42	0.6621102906	0.4925722534
43	0.6624623367	0.4921557328
44	0.6627432694	0.491733153
45	0.6632129067	0.4911245811
46	0.6635657256	0.4908017221
47	0.6638363582	0.4903957491
48	0.6640935401	0.4897520534
49	0.6643495706	0.4893950206
50	0.6646916961	0.4890332939
51	0.6647929459	0.488602514
52	0.6650342215	0.4882619094
53	0.6652447225	0.4879891731
54	0.6656166163	0.4875947705
55	0.6658459534	0.4873638477
56	0.6661659305	0.4871230604
57	0.6663464082	0.4868726226
58	0.6666487352	0.486447481
59	0.6668754746	0.4862014655
60	0.6670107617	0.486013649
61	0.6671559353	0.485887989
62	0.6673204884	0.4856810177
63	0.6674073599	0.4854929103
64	0.6676335014	0.4852914347
65	0.6677592539	0.4850633079
66	0.6679965804	0.4847554629
67	0.6681058463	0.4845690357
68	0.6682815979	0.4843488081
69	0.6684095391	0.4841928297
70	0.6684910044	0.4841401721
71	0.6686212136	0.4840102075
72	0.6686766919	0.4839665072
73	0.6688229803	0.4837533614
74	0.6689428045	0.4835553255
75	0.6691011896	0.4834311218
76	0.6692388452	0.4833133362
77	0.6693428119	0.4832198816
78	0.6693966114	0.4829961021
79	0.6699110695	0.4826764328
80	0.6700095576	0.4824326304
81	0.6703097942	0.4822171828
82	0.6704460923	0.4821011777
83	0.670563077	0.4819563677
84	0.6707204964	0.4818354437
85	0.6708427149	0.4817478453
86	0.671030615	0.4815240109
87	0.6711539192	0.4814013292
88	0.6712448555	0.481207107
89	0.6713568273	0.481106133
90	0.6714812437	0.4810064687
91	0.6716281284	0.4808601463
92	0.6718339623	0.4807400521
93	0.6719750556	0.4806354647
94	0.672091194	0.4804949917
95	0.6722556797	0.4803829116
96	0.6723542117	0.4803227833
97	0.672524559	0.4802169114
98	0.6726513481	0.4801048697
99	0.6727975341	0.4800215305
100	0.67296351	0.4799075455
101	0.6731614702	0.4798038653
102	0.6732322436	0.479705698
103	0.6733161249	0.4796360001
104	0.6734426315	0.4795256132
105	0.67355062	0.4794360898
106	0.6736322129	0.4793588422
107	0.6738088926	0.4792257938
108	0.6740121747	0.4791151623
109	0.674093672	0.4790654096
110	0.6741357946	0.4790398384
111	0.6741967197	0.4789938835
112	0.6743035626	0.478891919
113	0.6743730377	0.4787650947
114	0.6745183203	0.4786637581
115	0.6746236933	0.4785974707
116	0.6746909265	0.4785287542
117	0.6747900581	0.478427428
118	0.6748294507	0.4783892306
119	0.6748705895	0.4783147182
120	0.6749591151	0.4782703352
121	0.6750509433	0.4782156344
122	0.6751276255	0.4781349776
123	0.6752628123	0.4780285708
124	0.6753762739	0.47796231
125	0.6754315145	0.4779056828
126	0.6756381121	0.4777886485
127	0.6757977522	0.4776910649
128	0.6759182383	0.4776108083
129	0.6761077252	0.4774923711
130	0.6762643831	0.4774217882
131	0.6763103039	0.4773813564
132	0.6764921445	0.4772858429
133	0.6765441783	0.4772558124
134	0.67657176	0.4772212901
135	0.6765647289	0.4771995037
136	0.6765681138	0.4771791951
137	0.6766295119	0.4771368228
138	0.6767012252	0.4770875851
139	0.6767139767	0.4770732097
140	0.6767998688	0.4770268177
141	0.6768350923	0.4769600672
142	0.6768839424	0.4768967932
143	0.6770044817	0.4768198115
144	0.677193171	0.4767202816
145	0.6773387824	0.476638239
146	0.6775115641	0.4765405011
147	0.6776432415	0.4764694608
148	0.6776499722	0.4764510407
149	0.6777118374	0.4764202131
150	0.677804401	0.4763433824
151	0.677950818	0.4762551867
152	0.6779855194	0.4761935792
153	0.678120886	0.4760562878
154	0.6782716939	0.4759549728
155	0.6783109256	0.4759296624
156	0.6783821788	0.4758736589
157	0.6786263028	0.4757273403
158	0.6787478057	0.4756097385
159	0.6787924916	0.4755679385
160	0.6788497202	0.4755286116
161	0.6789496932	0.4754753889
162	0.6790737515	0.4754015997
163	0.6791439425	0.4753528594
164	0.6792445472	0.4752958062
165	0.6794556236	0.4751774949
166	0.6796236213	0.4750726392
167	0.6796885462	0.4750322193
168	0.679719238	0.4750014055
169	0.6798044327	0.4749481137
170	0.6798713217	0.4749009359
171	0.6799723835	0.4748424877
172	0.6800959146	0.4747729253
173	0.6801517771	0.4747113198
174	0.6802512584	0.4746270802
175	0.6803672783	0.4745232031
176	0.680399058	0.4744943015
177	0.6805012995	0.4744258744
178	0.6806462722	0.4743184366
179	0.6808585924	0.4741987541
180	0.6810190256	0.4740880295
181	0.6812095919	0.4739350462
182	0.6813619168	0.4738602754
183	0.6813622409	0.4738506341
184	0.6814272325	0.4738041582
185	0.681449667	0.4737800962
186	0.6815159039	0.4737362196
187	0.681645981	0.4736216841
188	0.6817587433	0.4735502307
189	0.6818370858	0.4735086954
190	0.6819154587	0.4734595303
191	0.681959182	0.4734252097
192	0.6820536031	0.4733717581
193	0.6820897209	0.4733489546
194	0.682125059	0.4733250039
195	0.6822506343	0.473261271
196	0.6824284214	0.4731738644
197	0.6825521019	0.4730907161
198	0.6827115701	0.473005438
199	0.6829469163	0.4728796385
200	0.6829988158	0.4728441546
201	0.6831014977	0.4727730716
202	0.6831360963	0.472744411
203	0.6833615505	0.4726027081
204	0.6834389791	0.4725484052
205	0.6836141311	0.4724577895
