iter	Passed	Remaining
0	84	42077
1	172	43046
2	262	43467
3	354	43998
4	456	45150
5	554	45634
6	648	45702
7	737	45381
8	830	45297
9	922	45188
10	1024	45540
11	1113	45282
12	1209	45291
13	1321	45885
14	1428	46196
15	1526	46175
16	1623	46116
17	1720	46066
18	1809	45817
19	1899	45599
20	1996	45529
21	2095	45521
22	2196	45551
23	2295	45524
24	2390	45424
25	2491	45420
26	2589	45362
27	2684	45252
28	2777	45103
29	2871	44982
30	2963	44838
31	3055	44682
32	3146	44524
33	3238	44383
34	3329	44236
35	3421	44104
36	3517	44014
37	3607	43863
38	3702	43766
39	3797	43672
40	3891	43560
41	3987	43478
42	4080	43368
43	4175	43268
44	4265	43133
45	4362	43055
46	4454	42932
47	4553	42876
48	4652	42825
49	4748	42732
50	4841	42626
51	4931	42483
52	5027	42402
53	5123	42318
54	5223	42260
55	5321	42188
56	5412	42065
57	5505	41955
58	5603	41881
59	5700	41806
60	5800	41741
61	5897	41662
62	5989	41544
63	6076	41397
64	6168	41281
65	6266	41207
66	6364	41132
67	6458	41032
68	6555	40946
69	6651	40860
70	6722	40618
71	6820	40546
72	6875	40219
73	6973	40145
74	7070	40063
75	7162	39958
76	7261	39893
77	7353	39783
78	7443	39669
79	7539	39583
80	7633	39485
81	7731	39411
82	7827	39323
83	7926	39255
84	8029	39201
85	8126	39121
86	8218	39013
87	8306	38890
88	8396	38776
89	8490	38678
90	8584	38582
91	8676	38479
92	8771	38385
93	8868	38305
94	8965	38220
95	9054	38105
96	9146	38002
97	9243	37918
98	9340	37833
99	9435	37742
100	9530	37651
101	9628	37568
102	9725	37484
103	9819	37390
104	9912	37289
105	10006	37195
106	10099	37092
107	10188	36980
108	10281	36882
109	10370	36768
110	10460	36658
111	10556	36571
112	10650	36475
113	10744	36382
114	10837	36283
115	10924	36165
116	11029	36105
117	11119	35995
118	11210	35893
119	11299	35781
120	11385	35661
121	11474	35552
122	11563	35441
123	11653	35337
124	11746	35238
125	11836	35133
126	11933	35048
