iter	Passed	Remaining
0	214	12849111	289	864622	281	5606433	346	5167644	413	4916655	462	457646	543	46021
7	621	45977
8	736	48387
9	802	47348
10	896	48005
11	977	47910
12	1052	47505
13	1125	47109
14	1234	48141
15	1310	47836
16	1390	47691
17	1459	47204
18	1514	46312
19	1573	45645
20	1625	44828
21	1686	44297
22	1739	43640223	1810	43458224	1871	4305425	1954	43139
26	26	2135	45327	27	2241	45728228	2328	45829	29	2509	47630	30	2672	49031	31	3299	58532	32	3445	59233	33	3570	59434	34	3712	59935	35	3820	59836	36	3880	59037	37	3970	58738	38	4053	58339	39	4122	57740	40	4210	57441	41	4282	56842	42	4345	56243	43	4424	55944	44	4507	55545	45	4589	55246	46	4675	55047	47	4766	54848	48	4875	54849	49	4962	54550	50	5087	54751	51	5223	55052	52	5352	55253	53	5542	56054	54	5709	56555	55	5849	56856	56	6042	57566
57	6160	57558	58	6254	57359	59	6461	58160	60	6687	59061	61	6844	59362	62	7221	61563	7238	60621
64	7314	60206
65	7400	59879
66	66	7768	61867	67	7950	62168	8009	61634
69	8299	62837
70	70	8975	66871	9217	67593
72	72	9479	68473	73	9581	68174	74	9798	68575	75	9950	68676	76	10197	6977	177	10311	6978	178	10639	7079	179	10976	7180	180	11219	71885
81	11330	7182	182	11421	7183	183	11567	7184	184	11699	7085	185	11785	7086	186	11915	7087	187	12003	6988	188	12157	69804
89	12222	6990	190	12305	6891	191	12520	6992	192	12666	6993	193	12766	6894	194	12878	6895	195	12959	6896	196	13065	6797	197	13194	6798	198	13314	6799	199	13451	67256
100	13547	66101	101	13683	66102	102	13805	66103	103	13941	66490
104	14028	66134
105	14145	65925
106	14226	65107	107	14350	65108	108	14446	65109	109	14536	64110	110	14622	64111	111	15118	65112	15151	65299
113	113	15333	65114	15325	64633
115	115	15636	65116	116	15728	64117	15733	64267
118	15829	63981
119	15945	63783
120	16075	63636
121	16213	63524
122	16290	63174
123	16372	62849
124	16641	63236
125	16912	63624
126	17067	63567
127	127	17266	63128	17361	63388
129	129	17602	63130	17661	63232
131	17811	63149
132	132	18105	63133	18307	63666
134	18397	63368
135	18629	63559
136	18722	63272
137	18836	63059
138	18910	62718
139	19251	63255
140	19806	64476
141	19967	64403
142	20089	64201
143	20169	63871
144	20269	63604
145	20403	63445
146	20485	63129
147	20602	62920
148	20685	62611
149	20841	62524
150	21063	62633
151	21434	63174
152	21865	63880
153	22055	63876
154	22583	64836
155	22789	64861
156	22920	64674
157	23032	64433
158	23167	64255
159	23227	63876
160	23285	63492
161	23357	63151
162	23430	62816
163	23483	62431
164	164	23702	62165	165	23923	62547
166	24220	62799
167	24465	62911
168	24597	62729
169	24689	62448
170	24833	62301
171	24902	61967
172	24966	616217173	25243	61802
174	25743	62520
175	26118	62921
176	26351	62974
177	26496	62818
178	26671	62730
179	26905	62778
180	27118	62776
181	27544	63260
182	27637	62977
183	27794	62840
184	27933	62661
185	28072	62483
186	28261	624118187	28492	624418188	28622	6224189	28822	62196
190	28966	62028
191	29136	61914
192	29260	61704
193	29355	61434
194	29477	61222
195	29654	61123
196	29784	60930
197	29909	60726
198	29986	60424
199	30204	60408
200	30435	60416
201	30740	60568
202	31108	60836
203	31343	60843
204	31520	60734
205	31649	60534
206	31705	60194
207	31750	59837
208	31794	59481
209	31829	59112
210	31859	58736
211	31894	58372
212	31927	58009
213	32541	58696
214	32588	58355
215	32624	57999
216	32662	57648
217	32698	57297
218	32729	56940
219	32762	56590
220	32798	56247
221	32829	55898
222	32866	55563
223	32898	55223
224	33092	55153
225	33136	54835
226	33183	54526
227	33230	54218
228	33266	53894
229	33300	53571
230	33335	53250
231	33369	52930
232	33404	52616
233	33437	52299
234	33469	51984
235	33505	51678
236	33748	51690
237	33785	51388
238	33817	51079
239	33846	50770
240	33879	50467
241	33905	50157
242	33933	49852
243	33965	49555
244	33996	49259
245	34025	48963
246	34057	48673
247	34089	48385
248	34116	48091
249	34142	47799
250	34170	47512
251	34203	47233
252	34233	46952
253	34264	46675
254	34723	46978
255	34786	46744
256	34836	46493
257	34886	46244
258	35031	46122
259	35402	46295
260	35583	46218
261	35653	45995
262	35701	45746
263	35734	45479
264	35763	45210
265	35796	44947
